StockPrice,Delta
0.000000000000000000e+00,-1.000000000331894512e+00
3.000000000000000000e+00,-1.000000000167228675e+00
6.000000000000000000e+00,-1.000000000000232037e+00
9.000000000000000000e+00,-9.999999999997228883e-01
1.200000000000000000e+01,-1.000000000000393241e+00
1.500000000000000000e+01,-9.999999999972075670e-01
1.800000000000000000e+01,-9.999999999878094181e-01
2.100000000000000000e+01,-9.999999998405755264e-01
2.400000000000000000e+01,-9.999999980417205725e-01
2.700000000000000000e+01,-9.999999813205610044e-01
3.000000000000000000e+01,-9.999998581644954365e-01
3.300000000000000000e+01,-9.999991237288021750e-01
3.600000000000000000e+01,-9.999955101032055316e-01
3.900000000000000000e+01,-9.999805905582151988e-01
4.200000000000000000e+01,-9.999281033518011563e-01
4.500000000000000000e+01,-9.997685314749537033e-01
4.800000000000000000e+01,-9.993437941699004901e-01
5.100000000000000000e+01,-9.983419802366277906e-01
5.400000000000000000e+01,-9.962245367795361517e-01
5.700000000000000000e+01,-9.921724265130222875e-01
6.000000000000000000e+01,-9.850844098787187031e-01
6.300000000000000000e+01,-9.736523345167368282e-01
6.600000000000000000e+01,-9.565154853504882482e-01
6.900000000000000000e+01,-9.324678662771059834e-01
7.200000000000000000e+01,-9.006715251265463573e-01
7.500000000000000000e+01,-8.608246409553993450e-01
7.800000000000000000e+01,-8.132458674916716035e-01
8.100000000000000000e+01,-7.588598879924086660e-01
8.400000000000000000e+01,-6.990938442506898776e-01
8.700000000000000000e+01,-6.357124167201307907e-01
9.000000000000000000e+01,-5.706271443592907389e-01
9.300000000000000000e+01,-5.057135684984436219e-01
9.600000000000000000e+01,-4.426611323478379378e-01
9.900000000000000000e+01,-3.828694235584237937e-01
1.020000000000000000e+02,-3.273936322660493392e-01
1.050000000000000000e+02,-2.769340298534208045e-01
1.080000000000000000e+02,-2.318595520595045922e-01
1.110000000000000000e+02,-1.922539209128834303e-01
1.140000000000000000e+02,-1.579733714729554261e-01
1.170000000000000000e+02,-1.287070355461841509e-01
1.200000000000000000e+02,-1.040335630192901206e-01
1.230000000000000000e+02,-8.347004658513458575e-02
1.260000000000000000e+02,-6.651141325036509511e-02
1.290000000000000000e+02,-5.266001258285466641e-02
1.320000000000000000e+02,-4.144616302131192559e-02
1.350000000000000000e+02,-3.244098951253859137e-02
1.380000000000000000e+02,-2.526310732254159405e-02
1.410000000000000000e+02,-1.958068931161320581e-02
1.440000000000000000e+02,-1.511029338744126170e-02
1.470000000000000000e+02,-1.161359726824823767e-02
1.500000000000000000e+02,-8.892940584188003747e-03
1.530000000000000000e+02,-6.786341757631142273e-03
1.560000000000000000e+02,-5.162456060616498095e-03
1.590000000000000000e+02,-3.915778243544174378e-03
1.620000000000000000e+02,-2.962267952526589920e-03
1.650000000000000000e+02,-2.235484839176781705e-03
1.680000000000000000e+02,-1.683257174323507738e-03
1.710000000000000000e+02,-1.264866924978504288e-03
1.740000000000000000e+02,-9.487100934674652826e-04
1.770000000000000000e+02,-7.103789083706377227e-04
1.800000000000000000e+02,-5.311083833057364057e-04
1.830000000000000000e+02,-3.965308970254363252e-04
1.860000000000000000e+02,-2.956866515998100528e-04
1.890000000000000000e+02,-2.202436282804962444e-04
1.920000000000000000e+02,-1.638869746501399425e-04
1.950000000000000000e+02,-1.218439853520493493e-04
1.980000000000000000e+02,-9.051661233189998686e-05
2.010000000000000000e+02,-6.719857304620097517e-05
2.040000000000000000e+02,-4.985855121309513597e-05
2.070000000000000000e+02,-3.697471403546720263e-05
2.100000000000000000e+02,-2.740885477588354368e-05
2.130000000000000000e+02,-2.031098345199090511e-05
2.160000000000000000e+02,-1.504721154668746196e-05
2.190000000000000000e+02,-1.114538770536886318e-05
2.220000000000000000e+02,-8.254212805628564797e-06
2.250000000000000000e+02,-6.112558336416230497e-06
2.280000000000000000e+02,-4.526486276675658244e-06
2.310000000000000000e+02,-3.352067221646812625e-06
2.340000000000000000e+02,-2.482553803993660263e-06
2.370000000000000000e+02,-1.838818783239639944e-06
2.400000000000000000e+02,-1.362235740448137292e-06
2.430000000000000000e+02,-1.009384273467466517e-06
2.460000000000000000e+02,-7.481159715745994120e-07
2.490000000000000000e+02,-5.546339619885091607e-07
2.520000000000000000e+02,-4.113265215761172386e-07
2.550000000000000000e+02,-3.051611041441189986e-07
2.580000000000000000e+02,-2.264944829522606357e-07
2.610000000000000000e+02,-1.681916173459188210e-07
2.640000000000000000e+02,-1.249734108775711536e-07
2.670000000000000000e+02,-9.293407393683775302e-08
2.700000000000000000e+02,-6.918410078713736631e-08
2.730000000000000000e+02,-5.158624642238225200e-08
2.760000000000000000e+02,-3.856033924119358602e-08
2.790000000000000000e+02,-2.893903755602140815e-08
2.820000000000000000e+02,-2.186128939307052532e-08
2.850000000000000000e+02,-1.669370232704364759e-08
2.880000000000000000e+02,-1.297258354589889165e-08
2.910000000000000000e+02,-1.036130087796947465e-08
2.940000000000000000e+02,-8.619014772770768380e-09
2.970000000000000000e+02,-7.577866640935506466e-09
3.000000000000000000e+02,-7.112037887109911268e-09
