StockPrice,Theta
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,-4.495532525129174069e-21
6.000000000000000000e+00,-2.315315966570097648e-18
9.000000000000000000e+00,-3.928666806998174103e-16
1.200000000000000000e+01,-3.236605224248821502e-14
1.500000000000000000e+01,-1.543269883505961726e-12
1.800000000000000000e+01,-4.720115085106808359e-11
2.100000000000000000e+01,-9.916757015881415979e-10
2.400000000000000000e+01,-1.503936070739921730e-08
2.700000000000000000e+01,-1.710383252018766317e-07
3.000000000000000000e+01,-1.504227950417395276e-06
3.300000000000000000e+01,-1.049718807937277974e-05
3.600000000000000000e+01,-5.943353921828854178e-05
3.900000000000000000e+01,-2.784445569655058126e-04
4.200000000000000000e+01,-1.098743902917482000e-03
4.500000000000000000e+01,-3.711302234611630127e-03
4.800000000000000000e+01,-1.089109193512194200e-02
5.100000000000000000e+01,-2.814865421057597544e-02
5.400000000000000000e+01,-6.488289683425774168e-02
5.700000000000000000e+01,-1.349206638248649226e-01
6.000000000000000000e+01,-2.557738611732601197e-01
6.300000000000000000e+01,-4.462754360428614064e-01
6.600000000000000000e+01,-7.228840952074958581e-01
6.900000000000000000e+01,-1.095570560095421975e+00
7.200000000000000000e+01,-1.564488548227827458e+00
7.500000000000000000e+01,-2.118446464579388344e+00
7.800000000000000000e+01,-2.735634432917427805e+00
8.100000000000000000e+01,-3.386387393701578929e+00
8.400000000000000000e+01,-4.037242213658350565e+00
8.700000000000000000e+01,-4.655324076114562004e+00
9.000000000000000000e+01,-5.212179239662384056e+00
9.300000000000000000e+01,-5.686458692888612276e+00
9.600000000000000000e+01,-6.065216248575990399e+00
9.900000000000000000e+01,-6.343902337302576910e+00
1.020000000000000000e+02,-6.525347018256807630e+00
1.050000000000000000e+02,-6.618117834711018332e+00
1.080000000000000000e+02,-6.634630077460291986e+00
1.110000000000000000e+02,-6.589314654167473861e+00
1.140000000000000000e+02,-6.497048647172138480e+00
1.170000000000000000e+02,-6.371954145602383157e+00
1.200000000000000000e+02,-6.226589276582369159e+00
1.230000000000000000e+02,-6.071498582722854920e+00
1.260000000000000000e+02,-5.915057726756451473e+00
1.290000000000000000e+02,-5.763535519790242034e+00
1.320000000000000000e+02,-5.621298480626212069e+00
1.350000000000000000e+02,-5.491093736991369489e+00
1.380000000000000000e+02,-5.374360371699729910e+00
1.410000000000000000e+02,-5.271533989876713733e+00
1.440000000000000000e+02,-5.182322348205554263e+00
1.470000000000000000e+02,-5.105940397592873659e+00
1.500000000000000000e+02,-5.041300833606019438e+00
1.530000000000000000e+02,-4.987161450391607076e+00
1.560000000000000000e+02,-4.942233699310898842e+00
1.590000000000000000e+02,-4.905258371305116327e+00
1.620000000000000000e+02,-4.875054730295419247e+00
1.650000000000000000e+02,-4.850549127700678476e+00
1.680000000000000000e+02,-4.830788434687011801e+00
1.710000000000000000e+02,-4.814942763093096545e+00
1.740000000000000000e+02,-4.802301054816063619e+00
1.770000000000000000e+02,-4.792262290594035967e+00
1.800000000000000000e+02,-4.784324351470536030e+00
1.830000000000000000e+02,-4.778071971258443185e+00
1.860000000000000000e+02,-4.773164748937727353e+00
1.890000000000000000e+02,-4.769325831584395381e+00
1.920000000000000000e+02,-4.766331615318980752e+00
1.950000000000000000e+02,-4.764002625019751136e+00
1.980000000000000000e+02,-4.762195608373237299e+00
2.010000000000000000e+02,-4.760796799270480051e+00
2.040000000000000000e+02,-4.759716258196481142e+00
2.070000000000000000e+02,-4.758883174055166698e+00
2.100000000000000000e+02,-4.758242003492989980e+00
2.130000000000000000e+02,-4.757749326313189364e+00
2.160000000000000000e+02,-4.757371303648364247e+00
2.190000000000000000e+02,-4.757081637846783728e+00
2.220000000000000000e+02,-4.756859943398747070e+00
2.250000000000000000e+02,-4.756690454880427410e+00
2.280000000000000000e+02,-4.756561005368058481e+00
2.310000000000000000e+02,-4.756462223123396171e+00
2.340000000000000000e+02,-4.756386902052202714e+00
2.370000000000000000e+02,-4.756329510066627186e+00
2.400000000000000000e+02,-4.756285806281861817e+00
2.430000000000000000e+02,-4.756252543876760441e+00
2.460000000000000000e+02,-4.756227239973960685e+00
2.490000000000000000e+02,-4.756207997869907445e+00
2.520000000000000000e+02,-4.756193370130434417e+00
2.550000000000000000e+02,-4.756182252800043031e+00
2.580000000000000000e+02,-4.756173804848495834e+00
2.610000000000000000e+02,-4.756167385744813458e+00
2.640000000000000000e+02,-4.756162507810131501e+00
2.670000000000000000e+02,-4.756158800007934673e+00
2.700000000000000000e+02,-4.756155980036046671e+00
2.730000000000000000e+02,-4.756153832987061847e+00
2.760000000000000000e+02,-4.756152195272528971e+00
2.790000000000000000e+02,-4.756150942048124719e+00
2.820000000000000000e+02,-4.756149977958092023e+00
2.850000000000000000e+02,-4.756149229883973817e+00
2.880000000000000000e+02,-4.756148641236903174e+00
2.910000000000000000e+02,-4.756148167854963305e+00
2.940000000000000000e+02,-4.756147774943411122e+00
2.970000000000000000e+02,-4.756147434030765453e+00
3.000000000000000000e+02,-4.756385257257637278e+00
